კოდი,დასახელება,ფასი,ფოტო,Image_URL,Image_File,Status,Match_Title
89,კომპრესორის ფიტინგი 1/2 ERKEK STOPER GOVDE KAPLIN,15,,https://rico-magaza.com.tr/wp-content/uploads/2024/09/26581-hava-adaptoru-quick-kaplin-1-2-erkek-10310303-ekran-alintisi.png,89.jpg,FOUND,
90,JANT DUZELTME FLANSI საბურავის დისკის გასწორების მანქანა,800,,https://i0.shbdn.com/photos/17/99/97/x5_1271179997d2c.jpg,90.jpg,FOUND,
91,კომპრესორის ფიტინგი 8MM HORTUM ICIN STOPER GOVDE KAPLIN,15,,https://www.hakantorna.com.tr/wp-content/uploads/2024/09/1959_princ-ha-5450_1.jpg,91.jpg,FOUND,
92,კომპრესორის ფიტინგი 10MM HORTUM UC STOPER GOVDE ( KAPLIN ),15,,https://www.hakantorna.com.tr/wp-content/uploads/2024/09/kompresor-stoper-hava-jaki-hortum-govde-8-mm-2-adet-kcm33848444-1-17b90fb8b5ff4a6990a4fb3bc2d1a4a0-931x1024.jpg,92.jpg,FOUND,
93,კომპრესორის ფიტინგი 13MM HORTUM UC STOPER GOVDE ( KAPLIN ),10,,https://www.hepnalbur.com/idea/lp/47/myassets/products/592/ludecke-es-13-t-stoper-govde-hortum-icin-13mm-hizli-baglanti-elemanlari-ludecke-4481634-13-b.jpg?revision=1741044629,93.jpg,FOUND,
94,კომპრესორის ფიტინგი HORTUM ICIN KAPLIN UC,5,,https://productimages.hepsiburada.net/s/551/550/110000613167377.jpg,94.jpg,FOUND,
95,ჰაერის გამანაწილებელი 3 LU HAVA DAGITICI,15,,https://percdn.com/f/247349/cG96YWFtNG0vcUp3ZUdGckg4OG5icmdQYmNFPQ/p/lastik-sokme-takma-makinasi-pedal-hava-dagitici-e-tipi-70847413-sw500sh500.png,95.jpg,FOUND,
96,კომპრესორის ფიტინგი KAPLIN ICIN UC,5,,https://cdn.dsmcdn.com/ty1599/prod/QC/20241111/22/6a88c4a8-c1d3-3967-9530-db04433cf907/1_org_zoom.jpg,96.jpg,FOUND,
97,კომპრესორის ფიტინგი 1/2 ERKEK KAPLIN ICIN UC,8,,https://img.pzrmcdn.com/mnresize/1180/1182/asset/PZRM-MPBQM80305/images/12sarikaplnerkeku-1.png,97.jpg,FOUND,
98,კომპრესორის ფიტინგი 1/4 ERKEK KAPLIN ICIN UC,5,,https://ideacdn.net/idea/gl/54/myassets/products/973/em-26-eu-1-4.jpg?revision=1727881656,98.jpg,FOUND,
99,ჰაერის ვარვარა HAVA VURMA UCU,6,,https://cdn.dsmcdn.com/ty1804/prod/QC_PREP/20251225/16/9eac4e1a-d5f4-39f9-a171-c9db1140c607/1_org_zoom.jpg,99.jpg,FOUND,
100,ბალანსირების ჩაქუჩი BALANS KURSUN CEKICI 1.KALITE,50,,https://www.kaynakmagazam.com/idea/mj/39/myassets/products/504/nt-tools-lastik-balans-ve-kursun-cekici-ntf1007.png?revision=1734002533,100.jpg,FOUND,
101,საბურავის ბალანსირების მანქანის ფანჯარა BALANS MAKINASI KELEBEGI CAP 36 VE 38,200,,https://www.ikinciellift.com/upload/urun/b/f8485ad4eea6529ef594317b644c9706.JPG,101.jpg,FOUND,
102,ბორტყუჩა BALANS MAKINA CETVELI,30,,https://lastikekipmanlari.com/wp-content/uploads/2025/04/33-3.png,102.jpg,FOUND,
103,საბურავის ვენტი 55 MM OTOBUS-KAMYON DUBLEKS SUBAP,5,,https://www.gazetelojistik.com/wp-content/uploads/2024/11/Petlas-yeni-otobus-lastigi.jpg,103.jpg,FOUND,
104,საბურავის ვენტი 70 MM OTOBUS-KAMYON DUBLEKS SUBAP,35,,https://www.gazetelojistik.com/wp-content/uploads/2024/11/Petlas-yeni-otobus-lastigi.jpg,104.jpg,FOUND,
105,საბურავის ვენტი 90 MM OTOBUS-KAMYON DUBLEKS SUBAP,5.5,,https://www.gazetelojistik.com/wp-content/uploads/2024/11/Petlas-yeni-otobus-lastigi.jpg,105.jpg,FOUND,
106,საბურავის ვენტი 115 MM OTOBUS-KAMYON DUBLEKS SUBAP,5.5,,https://www.gazetelojistik.com/wp-content/uploads/2024/11/Petlas-yeni-otobus-lastigi.jpg,106.jpg,FOUND,
107,TR 218 A LASTIK SOGUK TABANLI TRAKTOR SUBAP,15,,https://www.fordparcacim.com/idea/ey/80/myassets/products/256/20250807-152521-photoaidcom-photoaid-remove-background.jpg?revision=1755863201,107.jpg,FOUND,
108,საბურავის ვენტი METAL TAKSI SUBAP,2.5,,https://www.fordparcacim.com/idea/ey/80/myassets/products/256/20250807-152521-photoaidcom-photoaid-remove-background.jpg?revision=1755863201,108.jpg,FOUND,
109,საბურავის ვენტი TR 414 DUBLEKS SUBAP,0.35,,https://ideacdn.net/idea/cd/75/myassets/products/959/tr414c.png?revision=1712298792,109.jpg,FOUND,
110,საბურავის ვენტი TR 415 DUBLEKS SUBAP,1,,https://platincdn.com/1209/pictures/VTHCPKNVSD4152022125024_tr-414-tubeless-lastik-subap-seti-4-adet__03841634.jpg,110.jpg,FOUND,
111,საბურავის ვენტი HORTUMLU ILAVE SUBAP,10,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=10159661632577772,111.jpg,FOUND,
112,საბურავის ვენტი JUMBO DORSE SUBAP 42MM,5,,https://www.kamyonlastigi.com/wp-content/uploads/2022/10/245-70-r-19.5-jumbo-lastigi-1536x2048.jpg,112.jpg,FOUND,
113,საბურავის ვენტი JUMBO DORSE SUBAP EGRI 90 MM,7,,https://www.nurbisiklet.com/idea/mz/47/myassets/products/310/cst-200-x-50-ic-lastik-egri-subap-eng-efee-4.jpg?revision=1760369010,113.jpg,FOUND,
